,drug,target,pathway
714,NVP-ADW742_1932,IGF1R,IGF1R signaling:|: inhibition of insulin-like growth factor 1 receptor:|:insulin growth factor receptor
715,NVP-BEZ235,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG,"inhibitor of PI3K and mTOR kinase activity,PI3K-Akt signaling pathway"
716,NVP-BHG712_295,EPHB4,ephrin :|:RTK signaling
717,NVP-BSK805,JAK2,of Janus kinase 2:|:JAK
718,NVP-TAE684,ALK:|:INSR,ALK tyrosine kinase receptor :|: of ALK and ALK-NPM fusion protein:|:RTK signaling
719,NVP-TAE684_35,ALK:|:INSR,ALK tyrosine kinase receptor :|: of ALK and ALK-NPM fusion protein:|:RTK signaling
720,O-6-benzylguanine,MGMT,of O(6)-alkylguanine DNA alkyltransferases:|:O6-alkylguanine-DNA alkyltransferase
721,obatoclax,BCL2;BCL2L1;MCL1,"Apoptosis,inhibitor of MCL1, BCL2, and BCL-xL"""
722,Obatoclax Mesylate_1068,BCL-W:|:BCL-XL:|:BCL2:|:BCL2L1:|:MCL1,"Apoptosis regulation:|:BCL :|: of MCL1, BCL2, and BCL-xL"
723,Obatoclax Mesylate_182,BCL-W:|:BCL-XL:|:BCL2:|:BCL2L1:|:MCL1,"Apoptosis regulation:|:BCL :|: of MCL1, BCL2, and BCL-xL"
724,OF-1_1853,BRPF1B:|:BRPF2,Chromatin histone acetylation
725,olaparib,PARP1;PARP2,"effector of DNA repair (GO:0006281), inhibitor of cell proliferation (GO:0008283), effector of nucleotide-excision repair (GO:0006289),	inhibitor of poly (ADP-ribose) polymerase 1 and 2,Base excision repair,NF-kappa B signaling pathway,Apoptosis,Necroptosis"
726,Olaparib_1017,PARP1:|:PARP2,Genome integrity:|: inhibition of poly (ADP-ribose) polymerase 1 and 2:|:PARP
727,Olaparib_1017,PARP1:|:PARP2,Genome integrity:|: inhibition of poly (ADP-ribose) polymerase 1 and 2:|:PARP
728,Olaparib_1495,PARP1:|:PARP2,Genome integrity:|: inhibition of poly (ADP-ribose) polymerase 1 and 2:|:PARP
729,oligomycin A,ATP5L2,"effector of oxidative phosphorylation (GO:0006119), effector of ATPase activity (GO:0016887),"
730,omacetaxine mepesuccinate,"RPL3,CCND1,MCL1,MYC","inhibitor of protein translation by preventing protein elongation,MAPK signaling pathway,PI3K-Akt signaling pathway,Pathways in cancer,Chronic myeloid leukemia"
731,Omipalisib_283,MTOR:|:MTORC1:|:MTORC2:|:PI3K (class 1):|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,"mTOR , PI3K :|:mTOR |PI3K :|:PI3K/MTOR signaling"
732,OSI-027,MTOR:|:MTORC1:|:MTORC2,inhibition of mTORC1 and mTORC2:|:mTOR :|:PI3K/MTOR signaling
733,OSI-027_1594,MTOR:|:MTORC1:|:MTORC2,inhibition of mTORC1 and mTORC2:|:mTOR :|:PI3K/MTOR signaling
734,OSI-027_299,MTOR:|:MTORC1:|:MTORC2,inhibition of mTORC1 and mTORC2:|:mTOR :|:PI3K/MTOR signaling
735,OSI-930,KDR:|:KIT,"of c-KIT and VEGFR2:|:KIT , VEGFR :|:KIT |VEGFR :|:RTK signaling"
736,OSI-930_298,KDR:|:KIT,"of c-KIT and VEGFR2:|:KIT , VEGFR :|:KIT |VEGFR :|:RTK signaling"
737,Osimertinib_1919,EGFR,EGFR :|:EGFR signaling
738,OSU-03012_167,PDK1 (PDPK1):|:PDPK1,Metabolism:|:phosphoinositide dependent kinase
739,OTX015_1626,BRD2:|:BRD3:|:BRD4,bromodomain :|:Chromatin other
740,ouabain,ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4,"cardiac glycoside; inhibitor of the Na+/K+-ATPase,Cardiac muscle contraction,Adrenergic signaling in cardiomyocytes"
741,oxaliplatin,DNA alkylating agent,DNA replication
742,Oxaliplatin_1089,DNA alkylating agent,DNA alkylator; organoplatinum re:|:DNA :|:DNA replication
743,Oxaliplatin_1806,DNA alkylating agent,DNA alkylator; organoplatinum re:|:DNA :|:DNA replication
744,P22077_1933,USP47:|:USP7,Protein stability and degradation:|:ubiquitin specific protease
745,PAC-1,CASP3:|:Procaspase-3:|:Procaspase-7,activator of procaspase-3:|:Apoptosis regulation:|:caspase activator
746,PAC-1_175,CASP3:|:Procaspase-3:|:Procaspase-7,activator of procaspase-3:|:Apoptosis regulation:|:caspase activator
747,paclitaxel,BCL2:|:MAP2:|:MAP4:|:MAPT:|:Microtubule stabiliser:|:NR1I2:|:TLR4:|:TUBB:|:TUBB1,"activator of protein acetylation (GO:0006473), activator of apoptotic process (GO:0006915), activator of induction of apoptosis (GO:0006917), inhibitor of microtubule depolymerization (GO:0007019), activator of cell death (GO:0008219), activator of histone acetylation (GO:0016573), inhibitor of protein amino acid prenylation (GO:0018346), inhibitor of neuron projection development (GO:0031175), activator of microtubule polymerization (GO:0046785),Gap junction"
748,Paclitaxel_1080,BCL2:|:MAP2:|:MAP4:|:MAPT:|:Microtubule stabiliser:|:NR1I2:|:TLR4:|:TUBB:|:TUBB1,of microtubule assembly:|:Mitosis:|:tubulin polymerization
749,Paclitaxel_11,BCL2:|:MAP2:|:MAP4:|:MAPT:|:Microtubule stabiliser:|:NR1I2:|:TLR4:|:TUBB:|:TUBB1,of microtubule assembly:|:Mitosis:|:tubulin polymerization
750,PAK_5339_1730,PAK4,inhibitor of serine/threonine p21-activating kinase 4
751,Palbociclib_1054,CDK4:|:CDK6,CDK :|:Cell cycle
752,Palbociclib_1054,CDK4:|:CDK6,CDK :|:Cell cycle
753,palmostatin B,LYPLA1,inhibitor of acyl-protein thioesterase 1
754,pandacostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"effector of histone acetylation (GO:0016573), effector of histone deacetylase activity (GO:0004407)"
755,Panobinostat_438,HDAC:|:HDAC1:|:HDAC2:|:HDAC3:|:HDAC4:|:HDAC6:|:HDAC7:|:HDAC8:|:HDAC9,"Chromatin histone acetylation:|:HDAC :|: of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
756,parbendazole,TUBBS,inhibitor of microtubule assembly
757,PARP_0108_1459,"PARP1, PARP2, PARP6",Genome integrity
758,PARP_9482_1460,"PARP1, PARP2, PARP5a",Genome integrity
759,PARP_9495_1458,"PARP1, PARP2, PARP7",Genome integrity
760,parthenolide," ADIPOR2,HDAC1, NFKB1,TUBB1",modulator of ROS; modulator of NF-kappa-B signaling
761,Parthenolide_89,HDAC1,Chromatin histone acetylation:|:natural product; modulator of ROS; modulator of NF-kappa-B signaling:|:NFkB pathway
762,pazopanib,FLT1;FLT3;KDR;KIT;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFRB,MAPK signaling pathway"
763,Pazopanib_199,PDGFRA:|:CSF1R:|:FGF1:|:FGFR1:|:FGFR3:|:FLT1:|:FLT3:|:FLT4:|:ITK:|:KDR:|:KIT:|:PDGFRA:|:PDGFRB:|:SH2B3,"of VEGFRs, c-KIT, and PDGFRB:|:KIT , PDGFR tyrosine kinase receptor , VEGFR :|:KIT |PDGFR tyrosine kinase receptor |VEGFR :|:RTK signaling"
764,PCI-34051_1621,HDAC1:|:HDAC6:|:HDAC8,Chromatin histone acetylation:|: of HDAC8
765,PD 153035,EGFR:|:KDR,EGFR :|: of EGFR
766,PD0325901_1060,MAP2K1:|:MEK1:|:MEK2,ERK MAPK signaling:|:MEK
767,PD0325901_1060,MAP2K1:|:MEK1:|:MEK2,ERK MAPK signaling:|:MEK
768,PD173074_1049,FGFR1:|:FGFR2:|:FGFR3:|:FGFR4:|:FLT1:|:FLT4:|:KDR:|:PDGFRA:|:PDGFRB,"FGFR , VEGFR :|:FGFR |VEGFR :|:RTK signaling"
769,PD173074_1049,FGFR1:|:FGFR2:|:FGFR3:|:FGFR4:|:FLT1:|:FLT4:|:KDR:|:PDGFRA:|:PDGFRB,"FGFR , VEGFR :|:FGFR |VEGFR :|:RTK signaling"
770,PD318088,MAP2K1:|:MAP2K2,of MEK1 and MEK2:|:MEK
771,PDMP,UGCG,of ceramide glucosyltransferase
772,Pelitinib_282,EGFR,EGFR :|:EGFR signaling
773,Pemetrexed_428,ATIC:|:DHFR:|:GART:|:TYMS,dihydrofolate reductase |thymidylate synthase :|:DNA replication
774,pevonedistat,NAE1,"effector of proteasomal ubiquitin-dependent protein catabolic process (GO:0043161), inhibitor of release of cytoplasmic sequestered NF-kappaB (GO:0008588), activator of cell death (GO:0008219), effector of reactive oxygen species metabolic process (GO:0072593), inhibitor of protein neddylation (GO:0045116), effector of actin cytoskeleton organization (GO:0030036), effector of DNA biosynthetic process (GO:0071897), activator of apoptotic process (GO:0006915),inhibitor of Nedd-8 activating enzyme,"
775,Pevonedistat_1529,NAE:|:NAE1:|:UBA3,of Nedd-8 activating enzyme:|:nedd activating enzyme :|:Other
776,Pevonedistat_1529,NAE:|:NAE1:|:UBA3,of Nedd-8 activating enzyme:|:nedd activating enzyme :|:Other
777,PF-00299804_363,"EGFR, ERBB2, ERBB4",RTK signaling
778,PF-184,IKBKB,of IKK-2
779,PF-3758309,PAK4,of serine/threonine p21-activating kinase 4:|:p21 activated kinase
780,PF-4708671_1129,RPS6KB1:|:S6K1,PI3K/MTOR signaling:|:ribosomal protein
781,PF-4708671_1129,RPS6KB1:|:S6K1,PI3K/MTOR signaling:|:ribosomal protein
782,PF-4800567 hydrochloride,CSNK1D:|:CSNK1E,of casein kinase isoforms delta and epsilon
783,PF-543,Sphingosine Kinase:|:SPHK1,"of sphingosine kinase-1:|:Other, kinases"
784,PF-562271_158,FAK:|:FAK2:|:PTK2:|:PTK2B,Cytoskeleton:|:focal adhesion kinase
785,PF-573228,CDK1:|:CDK2:|:CDK7:|:GSK3B:|:IKBKB:|:PTK2,focal adhesion kinase :|: of focal adhesion kinase
786,PF-750,FAAH,of fatty acid amide hydrolase
787,PFI-1_1219,BRD4,bromodomain :|:Chromatin other
