,drug,target,pathway
875,Saracatinib_38,ABL:|:ABL1:|:LCK:|:SRC:|:YES1,"of SRC and ABL1:|:Other, kinases:|:src"
876,Savolitinib_1936,MET,RTK signaling
877,SB-225002,CXCR2,CC chemokine receptor antagonist:|: of chemokine receptor 2
878,SB-431542,ACVR1C:|:TGFBR1,of the transforming growth factor beta type 1 receptor:|:TGF beta receptor
879,SB-525334,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor
880,SB-743921,KIF11,of kinesin 11:|:kinesin-like spindle protein
881,SB216763_1025,CCNA2:|:CDK2:|:GSK3A:|:GSK3B,glycogen synthase kinase :|:WNT signaling
882,SB216763_1025,CCNA2:|:CDK2:|:GSK3A:|:GSK3B,glycogen synthase kinase :|:WNT signaling
883,SB505124_1194,"TGFBR1, ACVR1B, ACVR1C",RTK 
884,SB505124_1194,"TGFBR1, ACVR1B, ACVR1C",RTK 
885,SB505124_476,"TGFBR1, ACVR1B, ACVR1C",RTK 
886,SB52334_304,ALK5:|:TGFBR1,"of the transforming growth factor beta type 1 receptor:|:Other, kinases:|:TGF beta receptor"
887,SB590885_1061,BRAF,ERK MAPK signaling:|:RAF
888,SCH-529074,TP53,activator of mutant p53
889,SCH-79797,F2R,antagonist of proteinase-activated receptor 1 (PAR1)
890,SCH772984_1564,ERK1:|:ERK2,ERK MAPK signaling
891,Seliciclib_110,CDK2:|:CDK7:|:CDK9,CDK :|:Cell cycle
892,Selisistat_341,SIRT1,Chromatin histone acetylation:|: of sirtuin 1:|:SIRT
893,selumetinib,MAP2K1;MAP2K2,"MAPK signaling pathway,ErbB signaling pathway"
894,selumetinib:BRD-A02303741 (4:1 mol/mol),MAP2K1:|:MAP2K2:|:MEK1:|:MEK2,ERK MAPK signaling:|: of MEK1 and MEK2:|:MEK
895,selumetinib:decitabine (4:1 mol/mol),MAP2K1:|:MAP2K2:|:MEK1:|:MEK2,ERK MAPK signaling:|: of MEK1 and MEK2:|:MEK
896,selumetinib:GDC-0941 (4:1 mol/mol),MAP2K1:|:MAP2K2:|:MEK1:|:MEK2,ERK MAPK signaling:|: of MEK1 and MEK2:|:MEK
897,selumetinib:JQ-1 (4:1 mol/mol),DOT1L,inhibitor of histone methyltransferases
898,selumetinib:MK-2206 (8:1 mol/mol),DNMT1,"inhibitor of DNA methyltransferase,Cysteine and methionine metabolism,MicroRNAs in cancer"
899,selumetinib:navitoclax (8:1 mol/mol),PIK3C,PI3K-Akt signaling pathway
900,selumetinib:piperlongumine (8:1 mol/mol),"BRD2, BRD3, BRD4, BRDT",Chromatin other
901,selumetinib:PLX-4032 (8:1 mol/mol),"AKT1, AKT2",PI3K/MTOR signaling
902,selumetinib:tretinoin (2:1 mol/mol),BCL2;BCL2L1;BCL2L2,effector of apoptotic process (GO:0006915)
903,selumetinib:UNC0638 (4:1 mol/mol),NA,"inhibitor of phosphatidylinositol metabolic process (GO:0046488), inhibitor of cAMP-mediated signaling (GO:0019933), effector of catechol oxidase activity (GO:0004097), inhibitor of melanin biosynthetic process (GO:0042438), inhibitor of platelet aggregation (GO:0070527), inhibitor of pigmentation (GO:0043473), activator of fat cell differentiation (GO:0045444), inhibitor of oxygen and reactive oxygen species metabolic process (GO:0006800)"
904,selumetinib:vorinostat (8:1 mol/mol),,
905,Selumetinib_1062,RARA;RARB;RARG,"inhibitor of angiogenesis (GO:0001525), activator of apoptotic process (GO:0006915), effector of central nervous system development (GO:0007417), activator of myeloid cell differentiation (GO:0030099), activator of neuron projection development (GO:0031175), activator of neuron projection morphogenesis (GO:0048812),Th17 cell differentiation,Pathways in cancer,Transcriptional misregulation in cancer,Acute myeloid leukemia"
906,Selumetinib_1498,EHMT1;EHMT2,inhibitor of EHMT2 and GLP methyltransferase
907,Selumetinib_1736,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"Cell cycle,Notch signaling pathway,activator of protein acetylation (GO:0006473), activator of histone acetylation (GO:0016573), inhibitor of deacetylase activity (GO:0019213), effector of cell differentiation (GO:0030154), effector of histone deacetylase activity (GO:0004407), activator of apoptotic process (GO:0006915), inhibitor of cell proliferation (GO:0008283), effector of cell cycle (GO:0007049), activator of cell cycle arrest (GO:0007050), activator of DNA replication (GO:0006260), inhibitor of estrogen receptor activity (GO:0030284), effector of cell death (GO:0008219), effector of T cell homeostasis (GO:0043029), inhibitor of protein kinase B signaling cascade (GO:0043491), activator of cell-substrate adhesion (GO:0031589), effector of determination of adult lifespan (GO:0008340), effector of neuromuscular junction development (GO:0007528), effector of muscle fiber development (GO:0048747), activator of protein phosphorylation (GO:0006468), effector of gene expression (GO:0010467), activator of autophagic cell death (GO:0048102), activator of T cell differentiation (GO:0030217), activator of response to oxidative stress (GO:0006979), effector of regulation of mitochondrial membrane potential (GO:0051881), activator of cellular senescence (GO:0090398), effector of immune response (GO:0006955), effector of angiogenesis (GO:0001525), inhibitor of production of molecular mediator involved in inflammatory response (GO:0002532), inhibitor of G1/S transition of mitotic cell cycle (GO:0000082), inhibitor of 1-phosphatidylinositol-3-kinase activity (GO:0016303), inhibitor of RNA cap binding (GO:0000339), activator of inflammatory response (GO:0006954), activator of cardiac muscle cell differentiation (GO:0055007), effector of chromatin remodeling (GO:0006338), activator of response to endoplasmic reticulum stress (GO:0034976), effector of calcium ion homeostasis (GO:0055074), activator of reactive oxygen species metabolic process (GO:0072593), inhibitor of cytokine secretion (GO:0050663), activator of cyclin-dependent protein kinase inhibitor activity (GO:0004861), inhibitor of tumor necrosis factor production (GO:0032640), inhibitor of transdifferentiation (GO:0060290), effector of cell migration (GO:0016477), activator of histone H3 acetylation (GO:0043966), activator of chromatin assembly (GO:0031497), inhibitor of transcription, DNA-dependent (GO:0006351), activator of mitotic cell cycle arrest (GO:0071850), activator of epithelial cell differentiation (GO:0030855), effector of DNA damage response, signal transduction by p53 class mediator (GO:0030330), effector of histone deacetylation (GO:0016575), activator of interleukin-10 production (GO:0032613), effector of cytoplasmic microtubule organization (GO:0031122), activator of nitric oxide biosynthetic process (GO:0006809), inhibitor of double-strand break repair (GO:0006302), effector of chromatin assembly or disassembly (GO:0006333), activator of protein sumoylation (GO:0016925), activator of proteasomal protein catabolic process (GO:0010498), activator of lytic viral release (GO:0019077), activator of protein dephosphorylation (GO:0006470), inhibitor of interleukin-12 biosynthetic process (GO:0042090), inhibitor of natural killer cell activation (GO:0030101), effector of T cell receptor signaling pathway (GO:0050852), effector of stress-activated MAPK cascade (GO:0051403), effector of JAK-STAT cascade (GO:0007259), inhibitor of behavioral response to formalin induced pain (GO:0061368), inhibitor of cytokine production involved in inflammatory response (GO:0002534), activator of mRNA transcription (GO:0009299), effector of chloride channel activity (GO:0005254), activator of autophagy (GO:0006914), activator of response to DNA damage stimulus (GO:0006974)"
908,semagacestat,APH1A;NCSTN;PSEN1;PSENEN,"	
Notch signaling pathway,Neurotrophin signaling pathway,Alzheimer disease"
909,Sepantronium bromide_1941,BIRC5,Apoptosis regulation:|: of survivin expression:|:survivin
910,Sepantronium bromide_268,BIRC5,Apoptosis regulation:|: of survivin expression:|:survivin
911,serdemetan,MDM2,inhibitor of MDM2
912,serdemetan:SCH-529074 (1:1 mol/mol),MDM2,of MDM2:|:MDM :|:p53 pathway
913,Serdemetan_1133,TP53,activator of mutant p53
914,SGC0946_1264,DOT1L,Chromatin histone methylation:|:histone lysine methyltransferase
915,SGX-523,MET,hepatocyte growth factor receptor :|: of MET
916,Shikonin_170,not defined,Other
917,SID 26681509,CTSL1,of cathepsin L
918,sildenafil,PDE5A,cGMP-PKG signaling pathway
919,silmitasertib,CSNK2A1;CSNK2A2,inhibitor of casein kinase 2
920,simvastatin,HMGCR,"effector of cholesterol metabolic process (GO:0008203),Terpenoid backbone biosynthesis"
921,Sinularin_1838,NA,Unclassified
922,sirolimus,MTOR,"inhibitor of immune response,mTOR signaling pathway"
923,sirolimus:bortezomib (250:1 mol/mol),PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,"effector of proteasomal ubiquitin-dependent protein catabolic process (GO:0043161),Proteasome"
924,sitagliptin,DPP4,Protein digestion and absorption
925,SJ-172550,MDM2:|:MDM4:|:TP53,of p53-MDM2 interaction:|:MDM
926,skepinone-L,MAPK14,inhibitor of p38 MAPK
927,SKI-II,SPHK1,of sphingosine kinase 1:|:sphingosine kinase
928,SL0101_1039,AURKB:|:PIM1:|:PIM3:|:RSK,"Other, kinases"
929,SMER-3,CUL1:|:SKP1,of E3-ubiquitin ligase
930,SN-38,TOP1,DNA replication:|:metabolite of irinotecan;  of topoisomerase I:|:topoisomerase
931,SN-38_1490,TOP1,DNA replication:|:metabolite of irinotecan;  of topoisomerase I:|:topoisomerase
932,SN-38_1494,TOP1,DNA replication:|:metabolite of irinotecan;  of topoisomerase I:|:topoisomerase
933,SNS-032,CDK16:|:CDK17:|:CDK2:|:CDK7:|:CDK9:|:CDKL5,"CDK , cell cycle , MCL1 :|:CDK |cell cycle |MCL1 :|: of cyclin-dependent kinases"
934,SNX-2112,HSP90:|:HSP90AA1:|:HSP90B1,HSP :|: of HSP90alpha and HSP90beta:|:Protein stability and degradation
935,SNX-2112:bortezomib (250:1 mol/mol),HSP90:|:HSP90AA1:|:HSP90B1,HSP :|: of HSP90alpha and HSP90beta:|:Protein stability and degradation
936,SNX-2112_328,HSP90AA1:|:HSP90B1:|:PSMB1:|:PSMB2:|:PSMB5:|:PSMD1:|:PSMD2,of HSP90alpha and HSP90beta; of 26S proteasome
937,sorafenib,BRAF:|:DDR2:|:FGFR1:|:FLT1:|:FLT3:|:FLT4:|:KDR:|:KIT:|:PDGFR:|:PDGFRB:|:RAF:|:RAF1:|:RET:|:VEGFR,"FLT3 , KIT , PDGFR tyrosine kinase receptor , RAF , RET tyrosine kinase , VEGFR :|:FLT3 |KIT |PDGFR tyrosine kinase receptor |RAF |RET tyrosine kinase |VEGFR :|: of BRAF, CRAF, and VEGFR2:|:RTK signaling"
938,Sorafenib_1085,BRAF:|:DDR2:|:FGFR1:|:FLT1:|:FLT3:|:FLT4:|:KDR:|:KIT:|:PDGFR:|:PDGFRB:|:RAF:|:RAF1:|:RET:|:VEGFR,"FLT3 , KIT , PDGFR tyrosine kinase receptor , RAF , RET tyrosine kinase , VEGFR :|:FLT3 |KIT |PDGFR tyrosine kinase receptor |RAF |RET tyrosine kinase |VEGFR :|: of BRAF, CRAF, and VEGFR2:|:RTK signaling"
939,Sorafenib_30,BRAF:|:DDR2:|:FGFR1:|:FLT1:|:FLT3:|:FLT4:|:KDR:|:KIT:|:PDGFR:|:PDGFRB:|:RAF:|:RAF1:|:RET:|:VEGFR,"FLT3 , KIT , PDGFR tyrosine kinase receptor , RAF , RET tyrosine kinase , VEGFR :|:FLT3 |KIT |PDGFR tyrosine kinase receptor |RAF |RET tyrosine kinase |VEGFR :|: of BRAF, CRAF, and VEGFR2:|:RTK signaling"
940,sotrastaurin,PRKCB,"T cell receptor signaling pathway,Inflammatory mediator regulation of TRP channels"
941,spautin-1,USP10;USP13,inhibitor of the deubiquitinase activity of USP13 and USP10
942,Sphingosine Kinase 1 Inhibitor II_408,SPHK1,inhibitor of D-erythro-sphingosine kinase activity (GO:0017050)
943,SR-II-138A,EIF4A2:|:EIF4E:|:EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex
944,SR1001,RORA:|:RORC,synthetic ROR ligand; suppressor of TH17 differentiation
945,SR8278,NR1D1,antagonist of Rev-ErbAalpha
946,SRT-1720,SIRT1,activator of sirtuin-1:|:SIRT activator
947,staurosporine,NA,"effector of cytokinesis, actomyosin contractile ring assembly (GO:0000915), inhibitor of protein kinase C activity (GO:0004697), effector of spindle midzone assembly involved in mitosis (GO:0051256)"
948,Staurosporine_1034,Broad spectrum kinase inhibitor,of multiple kinases:|:RTK signaling
949,StemRegenin 1,AHR,aryl hydrocarbon receptor antagonist:|: of aryl hydrocarbon receptor
950,STF-31,NAMPT,of nicotinamide phosphoribosyltransferase
951,STF-62247_258,Autophagy inducer,autophagy inducer:|:Other
952,SU11274,MET,hepatocyte growth factor receptor |tyrosine kinase :|: of MET:|:RTK signaling
953,SU11274_285,MET,hepatocyte growth factor receptor |tyrosine kinase :|: of MET:|:RTK signaling
954,sunitinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"",MAPK signaling pathway,Ras signaling pathway,PI3K-Akt signaling pathway,VEGF signaling pathway"
955,Sunitinib_5,CSF1R:|:FGFR1:|:FLT1:|:FLT3:|:FLT4:|:KDR:|:KIT:|:PDGFR:|:PDGFRA:|:PDGFRB:|:RET:|:VEGFR,"FLT3 , KIT , PDGFR tyrosine kinase receptor , RET tyrosine kinase , VEGFR :|:FLT3 |KIT |PDGFR tyrosine kinase receptor |RET tyrosine kinase |VEGFR :|: of VEGFRs, c-KIT, and PDGFR alpha and beta:|:RTK signaling"
956,SZ4TA2,BCL2L1,of BCL-xL
957,T0901317_333,FXR:|:LXR:|:NCOA1:|:NCOA2:|:NR1H2:|:NR1H3:|:NR1I2:|:RXRB,LXR agonist:|:Other
958,tacedinaline,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of deacetylase activity (GO:0019213),Cell cycle"
959,tacrolimus,PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2,"MAPK signaling pathway,Cellular senescence,Osteoclast differentiation,Natural killer cell mediated cytotoxicity,Th1 and Th2 cell differentiation,Th17 cell differentiation,T cell receptor signaling pathway"
960,TAF1_5496_1732,TAF1,Other
961,TAK-715_221,MAPK14:|:p38alpha:|:p38beta,JNK and p38 signaling:|:p38 MAPK
962,Talazoparib_1259,PARP1:|:PARP2,Genome integrity:|:PARP
963,Talazoparib_1259,PARP1:|:PARP2,Genome integrity:|:PARP
964,tamatinib,SYK,"inhibitor of monocyte activation (GO:0042117), inhibitor of neutrophil activation (GO:0042119), inhibitor of B cell activation (GO:0042113), inhibitor of cytokine production (GO:0001816), inhibitor of platelet aggregation (GO:0070527), inhibitor of arachidonic acid secretion (GO:0050482), inhibitor of chemokine production (GO:0032602), inhibitor of cell migration (GO:0016477), inhibitor of lymphocyte proliferation (GO:0046651), effector of protein phosphorylation (GO:0006468), inhibitor of B cell receptor signaling pathway (GO:0050853), inhibitor of Fc receptor mediated stimulatory signaling pathway (GO:0002431), activator of apoptotic process (GO:0006915), inhibitor of peptidyl-tyrosine phosphorylation (GO:0018108), inhibitor of inflammatory response (GO:0006954), activator of B cell differentiation (GO:0030183), inhibitor of phospholipase C activity (GO:0004629)"
965,tamoxifen,ESR1;ESR2,"inhibitor of ESR2 (Gene ID: 2100), inhibitor of ESR1 (Gene ID: 2099), inhibitor of ABCB1 (Gene ID: 5243), inhibitor of AKR1C3 (Gene ID: 8644), inhibitor of CHUK (Gene ID: 1147), inhibitor of CYP1B1 (Gene ID: 1545), inhibitor of CYP2C8 (Gene ID: 1558), inhibitor of EBP (Gene ID: 10682), inhibitor of KCNA3 (Gene ID: 3738), inhibitor of KCNH2 (Gene ID: 3757), inhibitor of PRKCA (Gene ID: 5578), inhibitor of PRKCB (Gene ID: 5579), inhibitor of SIGMAR1 (Gene ID: 10280), antagonist of EBP (Gene ID: 10682), antagonist of ESR1 (Gene ID: 2099), antagonist of ESR2 (Gene ID: 2100), antagonist of GPER (Gene ID: 2852), antagonist of PRKCA (Gene ID: 5578), antagonist of PRKCB (Gene ID: 5579), antagonist of PRKCD (Gene ID: 5580), antagonist of PRKCE (Gene ID: 5581), antagonist of PRKCG (Gene ID: 5582), antagonist of PRKCI (Gene ID: 5584), antagonist of PRKCQ (Gene ID: 5588), antagonist of PRKCZ (Gene ID: 5590),Estrogen signaling pathway"
966,Tamoxifen_1199,EBP:|:ESR1:|:ESR2:|:GPER1:|:PRKCA:|:PRKCB:|:PRKCD:|:PRKCE:|:PRKCG:|:PRKCI:|:PRKCQ:|:PRKCZ,"estrogen receptor antagonist, selective estrogen receptor modulator (SERM):|:estrogen receptor antagonist|selective estrogen receptor modulator (SERM):|:Hormone-related:|:modulator of estrogen receptors"
967,Tamoxifen_1199,EBP:|:ESR1:|:ESR2:|:GPER1:|:PRKCA:|:PRKCB:|:PRKCD:|:PRKCE:|:PRKCG:|:PRKCI:|:PRKCQ:|:PRKCZ,"estrogen receptor antagonist, selective estrogen receptor modulator (SERM):|:estrogen receptor antagonist|selective estrogen receptor modulator (SERM):|:Hormone-related:|:modulator of estrogen receptors"
968,tandutinib,FLT3;KIT,"MAPK signaling pathway,PI3K-Akt signaling pathway"
969,tanespimycin,HSP90AA1,effector of protein folding (GO:0006457)
970,tanespimycin:bortezomib (250:1 mol/mol),HSP90:|:HSP90AA1,HSP :|: of HSP90:|:Protein stability and degradation
971,tanespimycin:gemcitabine (1:1 mol/mol),PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,"effector of proteasomal ubiquitin-dependent protein catabolic process (GO:0043161),Proteasome"
972,Tanespimycin_1026,CMPK1;RRM1;TYMS,"inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase,effector of DNA replication (GO:0006260), effector of pyrimidine base biosynthetic process (GO:0019856),Purine metabolism,Pyrimidine metabolism"
973,TANK_1366_1461,TNKS,inhibitor of tankyrase
974,Taselisib_1561,PI3K (beta sparing):|:PIK3CA,PI3K :|:PI3K/MTOR signaling
975,Telomerase Inhibitor IX_1930,TERT,"inhibitor of cell proliferation (GO:0008283), effector of telomere maintenance via telomere shortening (GO:0010834), inhibitor of cell growth (GO:0016049), activator of apoptotic process (GO:0006915), effector of DNA repair (GO:0006281), inhibitor of telomerase activity (GO:0003720)
MeSH term annotation(s)"
976,temozolomide,DNA,DNA alkylator
977,Temozolomide_1375,DNA alkylating agent:|:MGMT,DNA alkylating :|:DNA alkylator:|:DNA replication
978,Temozolomide_1375,DNA alkylating agent:|:MGMT,DNA alkylating :|:DNA alkylator:|:DNA replication
979,temsirolimus,MTOR,"ErbB signaling pathway,mTOR signaling pathway"
980,Temsirolimus_1016,MTOR,of mTOR:|:mTOR :|:PI3K/MTOR signaling
981,teniposide,MTOR,"ErbB signaling pathway,mTOR signaling pathway"
982,Teniposide_1809,TOP2A:|:TOP2B,DNA replication:|: of topoisomerase II:|:topoisomerase
983,Tenovin-6_342,SIRT:|:SIRT1:|:SIRT2:|:SIRT3,Chromatin histone acetylation:|:SIRT
984,TG-100-115,PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,of PI3K catalytic subunits delta and gamma:|:PI3K
985,TG-101348,JAK2,"effector of cytokine-mediated signaling pathway (GO:0019221), inhibitor of protein phosphorylation (GO:0006468), inhibitor of hemopoiesis (GO:0030097),JAK-STAT signaling pathway"
986,TGX-221,PIK3CB,inhibitor of PI3K catalytic subunit beta
987,TGX221_94,PI3Kbeta:|:PIK3CB:|:PIK3CD,of PI3K catalytic subunit beta:|:PI3K :|:PI3K/MTOR signaling
988,thalidomide,CRBN,"binder of tumor necrosis factor-activated receptor activity (GO:0005031),Cytokine-cytokine receptor interaction,NF-kappa B signaling pathway,Hematopoietic cell lineage,TNF signaling pathway"
989,Thapsigargin_180,SERCA,Other
990,THZ-2-102-1_346,CDK7,Cell cycle
991,THZ-2-49_344,CDK9,Cell cycle
992,tigecycline,30S ribosomal subunit,Ribosome
993,tipifarnib-P1,Farnesyl-transferase (FNTA):|:FNTA:|:FNTB,farnesyltransferase :|: of farnesyltransferase:|:Other
994,tipifarnib-P2,FNTA,Terpenoid backbone biosynthesis
995,Tipifarnib_204,FNTA,Terpenoid backbone biosynthesis
996,tivantinib,MET,"inhibitor of microtubule assembly,Ras signaling pathway,Focal adhesion,Adherens junction"
997,tivozanib,FLT1;FLT3;KDR,"inhibitor of angiogenesis (GO:0001525),MAPK signaling pathway,VEGF signaling pathway"
998,Tivozanib_312,FLT1:|:FLT3:|:FLT4:|:KDR:|:KIT:|:PDGFRA:|:PDGFRB:|:VEGFR1:|:VEGFR2:|:VEGFR3,of VEGFRs:|:RTK signaling:|:VEGFR
999,TL-1-85_261,TAK,"Other, kinases"
1000,TL-2-105_211,not defined,Other
1001,topotecan,TOP1,"inhibitor of DNA topoisomerase type I activity (GO:0003917), inhibitor of cell proliferation (GO:0008283),"
1002,Topotecan_1808,TOP1:|:TOP1MT,DNA replication:|: of topoisomerase I:|:topoisomerase
1003,Torin 2_371,mTOR,PI3K/MTOR signaling
1004,tosedostat,ANPEP;LAP3;NPEPPS,"Hematopoietic cell lineage,inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N"
1005,Tozasertib_1096,AURKA:|:AURKB:|:AURKC:|:LCK:|:others,"Aurora kinase , Bcr-Abl kinase , FLT3 , JAK :|:Aurora kinase |Bcr-Abl kinase |FLT3 |JAK :|: of aurora kinases:|:Mitosis"
1006,Tozasertib_32,AURKA:|:AURKB:|:AURKC:|:LCK:|:others,"Aurora kinase , Bcr-Abl kinase , FLT3 , JAK :|:Aurora kinase |Bcr-Abl kinase |FLT3 |JAK :|: of aurora kinases:|:Mitosis"
1007,TPCA-1,IKBKB:|:IKK2,"IKK :|: of IKK-2:|:Other, kinases"
1008,TPCA-1_305,IKBKB:|:IKK2,"IKK :|: of IKK-2:|:Other, kinases"
1009,trametinib,MAP2K1;MAP2K2,"MAPK signaling pathway,ErbB signaling pathway"
1010,Trametinib_1372,MAP2K1:|:MAP2K2:|:MEK1:|:MEK2,ERK MAPK signaling:|: of MEK1 and MEK2:|:MEK
1011,Trametinib_1372,MAP2K1:|:MAP2K2:|:MEK1:|:MEK2,ERK MAPK signaling:|: of MEK1 and MEK2:|:MEK
1012,tretinoin,RARA;RARB;RARG,"inhibitor of angiogenesis (GO:0001525), activator of apoptotic process (GO:0006915), effector of central nervous system development (GO:0007417), activator of myeloid cell differentiation (GO:0030099), activator of neuron projection development (GO:0031175), activator of neuron projection morphogenesis (GO:0048812),Th17 cell differentiation,Pathways in cancer,Transcriptional misregulation in cancer,Acute myeloid leukemia
"
1013,tretinoin:carboplatin (2:1 mol/mol),RARA:|:RARB:|:RARG:|:Retinoic acid,agonist of retinoid acid receptors:|:Other:|:retinoid receptor agonist
1014,tretinoin:navitoclax (4:1 mol/mol),RARA;RARB;RARG,"agonist of retinoid acid receptors,"
1015,Tretinoin_1009,BCL2;BCL2L1;BCL2L2,effector of apoptotic process (GO:0006915)
1016,triazolothiadiazine,PDE4A;PDE4B;PDE4D,inhibitor of phosphdiesterase 4A/B/D
1017,Trichostatin A_437,HDAC:|:HDAC1:|:HDAC10:|:HDAC2:|:HDAC3:|:HDAC4:|:HDAC5:|:HDAC6:|:HDAC7:|:HDAC8:|:HDAC9,Chromatin histone acetylation:|:HDAC
1018,trifluoperazine,DRD2,"inhibitor of protein export from nucleus (GO:0006611), inhibitor of cell proliferation (GO:0008283), effector of phosphatidylinositol 3-kinase cascade (GO:0014065), inhibitor of peptidyl-serine phosphorylation (GO:0018105), inhibitor of peptidyl-threonine phosphorylation (GO:0018107),Neuroactive ligand-receptor interaction,Dopaminergic synapse"
1019,triptolide,"RPAP2,ERCC3",inhibitor of RNA polymerase II
1020,TTK_3146_1464,TTK,Mitosis
1021,tubastatin A,HDAC6,inhibitor of tubulin deacetylase activity of HDAC6
1022,Tubastatin A_265,HDAC1:|:HDAC6:|:HDAC8,Chromatin histone acetylation:|:HDAC :|: of tubulin deacetylase activity of HDAC6
1023,TW-37,BCL2;BCL2L1,inhibitor of BCL2 and BCL-Xl
1024,TW 37_1149,BCL-XL:|:BCL2:|:BCL2L1:|:MCL1,Apoptosis regulation:|:BCL :|: of BCL2 and BCL-xL
1025,TWS119_366,GSK3,WNT 
1026,Ulixertinib_1908,"ERK1, ERK2",ERK MAPK 
1027,Ulixertinib_2047,"ERK1, ERK2",ERK MAPK 
1028,ULK1_4989_1733,ULK1,"Other, kinases"
1029,UMI-77_1939,MCL1,Apoptosis regulation
1030,UNC0321,EHMT2,histone lysine methyltransferase :|: of G9a histone methyltransferase
1031,UNC0638,EHMT1:|:EHMT2:|:G9a and GLP methyltransferases,Chromatin histone methylation:|:histone lysine methyltransferase :|: of EHMT2 and GLP methyltransferase
1032,UNC0638:navitoclax (1:1 mol/mol),EHMT1:|:EHMT2:|:G9a and GLP methyltransferases,Chromatin histone methylation:|:histone lysine methyltransferase :|: of EHMT2 and GLP methyltransferase
1033,UNC0638_1236,EHMT1:|:EHMT2:|:G9a and GLP methyltransferases,Chromatin histone methylation:|:histone lysine methyltransferase :|: of EHMT2 and GLP methyltransferase
1034,UNC0638_245,BCL2:|:BCL2L1:|:BCL2L2:|:EHMT1:|:EHMT2,"of EHMT2 and GLP methyltransferase; of BCL2, BCL-xL, and BCL-W"
1035,UNC0642_1263,EHMT1:|:EHMT2:|:G9a(EHMT2):|:GLP(EHMT1),Chromatin histone methylation:|:histone lysine methyltransferase
1036,UNC1215_1262,L3MBTL3,Chromatin other:|:L3MBTL antagonist
1037,Uprosertib_1553,"AKT1, AKT2, AKT3",PI3K/MTOR 
1038,Uprosertib_2106,"AKT1, AKT2, AKT3",PI3K/MTOR 
1039,VAF-347,AHR,of aryl hydrocarbon receptor
1040,valdecoxib,PTGS2,"inhibitor of prostaglandin biosynthetic process (GO:0001516), inhibitor of one-carbon metabolic process (GO:0006730), effector of cyclooxygenase pathway (GO:0019371), effector of arachidonic acid metabolic process (GO:0019369),Arachidonic acid metabolism"
1041,vandetanib,EGFR;KDR,"MAPK signaling pathway,ErbB signaling pathway,VEGF signaling pathway"
1042,VE-822_1613,ATM:|:ATR:|:MTOR:|:PIK3CG,ATR kinase :|:Genome integrity
1043,VE821_2111,ATR,Genome integrity
1044,veliparib,PARP1;PARP2,"inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2),Apoptosis,Necroptosis"
1045,Veliparib_1018,PARP1:|:PARP2,Genome integrity:|: of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2):|:PARP
1046,Venetoclax_1909,BCL2,Apoptosis regulation:|:BCL :|: of BCL2
1047,Venotoclax_412,BCL-2 selective,Apoptosis regulation
1048,VER-155008,HSPA1A;HSPA1B;HSPA1L,"inhibitor of cell proliferation (GO:0008283), activator of apoptotic process (GO:0006915), activator of cell death (GO:0008219), activator of protein catabolic process (GO:0030163), effector of protein folding (GO:0006457), effector of response to unfolded protein (GO:0006986)"
1049,Vinblastine_1004,JUN:|:Microtubule destabiliser:|:TUBA1A:|:TUBB:|:TUBD1:|:TUBE1:|:TUBG1,"microtubule , tubulin polymerization :|:microtubule |tubulin polymerization :|:Mitosis"
1050,Vinblastine_1004,JUN:|:Microtubule destabiliser:|:TUBA1A:|:TUBB:|:TUBD1:|:TUBE1:|:TUBG1,"microtubule , tubulin polymerization :|:microtubule |tubulin polymerization :|:Mitosis"
1051,vincristine,TUBBS,"inhibitor of mictrotubule assembly,Gap junction"
1052,Vincristine_1818,,Mitosis
1053,Vinorelbine_140,Microtubule destabiliser:|:TUBA1A:|:TUBA1B:|:TUBA1C:|:TUBA3C:|:TUBA3D:|:TUBA3E:|:TUBA4A:|:TUBB:|:TUBB1:|:TUBB2A:|:TUBB2B:|:TUBB3:|:TUBB4A:|:TUBB4B:|:TUBB6:|:TUBB8,Mitosis:|:tubulin polymerization
1054,Vinorelbine_2048,Microtubule destabiliser:|:TUBA1A:|:TUBA1B:|:TUBA1C:|:TUBA3C:|:TUBA3D:|:TUBA3E:|:TUBA4A:|:TUBB:|:TUBB1:|:TUBB2A:|:TUBB2B:|:TUBB3:|:TUBB4A:|:TUBB4B:|:TUBB6:|:TUBB8,Mitosis:|:tubulin polymerization
